cluster_id,complaint_count,pending_ratio,high_priority_ratio,medium_or_high_ratio,avg_density_score,risk_score,risk_level,dominant_category,center_lat,center_lng
18,83,0.25301204819277107,0.08433734939759036,0.25301204819277107,0.2443654301751626,0.2495534009857277,LOW,Water Supply,40.67213852163462,-73.98064540142097
10,198,0.3686868686868687,0.12121212121212122,0.3686868686868687,0.05681990161043494,0.24394008185629518,LOW,Waste,40.6710822707778,-73.95534736067088
23,45,0.4,0.0,0.4,0.0011326702611351824,0.24045306810445405,LOW,Waste,40.66942399875338,-73.88359713352969
60,15,0.4,0.06666666666666667,0.4,0.0009730370629686866,0.24038921482518746,LOW,Pothole,40.71349104979954,-73.76959848630675
41,18,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.0006047351240296389,0.23357522738294517,LOW,Waste,40.5799367075972,-73.96174870737441
34,24,0.375,0.041666666666666664,0.375,0.007014744485655075,0.22780589779426202,LOW,Water Supply,40.61125901461509,-73.98137212871895
53,22,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0032871165189885462,0.2194966647894136,LOW,Water Supply,40.835752066207924,-73.83303752972033
3,11,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0027656873719270007,0.21928809313058897,LOW,Pothole,40.630940177645265,-74.0203874810591
9,33,0.36363636363636365,0.030303030303030304,0.36363636363636365,0.0005931052598159696,0.21841906028574457,LOW,Pothole,40.714319212903824,-73.85336286448882
21,14,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.0011115132052123002,0.2147303195677992,LOW,Pothole,40.73747835606758,-73.8516841708868
32,12,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.03671299767420796,0.21468519906968317,LOW,Waste,40.875034646736175,-73.87578466752124
61,14,0.35714285714285715,0.0,0.35714285714285715,0.0008218507106376642,0.21461445456996936,LOW,Pothole,40.61381434204872,-73.92227636858489
15,80,0.3125,0.0375,0.3125,0.06386236143502544,0.2130449445740102,LOW,Pothole,40.63894533357345,-73.95318829919226
91,13,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.0005435093305513615,0.20790971142452824,LOW,Water Supply,40.71593460816409,-73.75799463450895
56,16,0.125,0.0,0.125,0.3133953165985144,0.20035812663940578,LOW,Waste,40.809171673456966,-73.92609618980808
77,12,0.3333333333333333,0.0,0.3333333333333333,0.0007850615856790833,0.20031402463427161,LOW,Water Supply,40.71721177896315,-73.88669747484018
40,18,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0007840701346359723,0.2003136280538544,LOW,Pothole,40.59946281388004,-73.99642216215112
89,12,0.3333333333333333,0.0,0.3333333333333333,0.0004147588176008916,0.20016590352704033,LOW,Waste,40.832127374895244,-73.82025034529478
11,87,0.20689655172413793,0.022988505747126436,0.20689655172413793,0.17579409887163658,0.1944555705831374,LOW,Water Supply,40.74844416626445,-73.94477355257986
8,366,0.2814207650273224,0.12568306010928962,0.2814207650273224,0.06203669088203902,0.19366713536920904,LOW,Water Supply,40.84791530774711,-73.90170642963912
46,28,0.32142857142857145,0.0,0.32142857142857145,0.0004700796153927,0.19304517470329996,LOW,Waste,40.60778746837833,-73.9595983293532
47,16,0.3125,0.0,0.3125,0.009930670282175386,0.19147226811287016,LOW,Water Supply,40.681402204153414,-73.76345540115048
